datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9836,-58.3819,13.8
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1903,-59.0707,14.9
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.5326,-55.7167,9.6
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2550,-57.3090,27.4
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4810,-57.9890,29.3
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4680,-57.9700,28.2
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4590,-57.9720,9.5
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2530,-57.2970,14.8
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.5300,-58.3320,18.9
2021/01/02 17:45:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4720,-57.9910,76.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9260,-57.6680,14.8
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.4120,-55.9750,14.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4810,-57.9670,17.9
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.5540,-58.2670,14
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4570,-57.9950,32.9
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-16.9690,-57.2740,17.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6230,-56.8560,17.4
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4490,-57.9830,10.3
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-19.5810,-56.8230,18.6
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6430,-56.7810,20.2
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.7640,-55.7120,10.9
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.4660,-56.8630,15.7
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.7050,-55.8590,10.7
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.3930,-55.4730,9.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.5470,-55.7240,56.4
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.5460,-55.7340,21.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.5000,-57.9980,17
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-17.7410,-57.6420,14.2
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4660,-57.9970,15.2
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.4360,-55.9950,13.1
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.6240,-56.8460,25.4
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.4290,-55.9840,14.4
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2500,-57.3090,13
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9360,-57.6690,31.8
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,,,,-16.6870,-55.8560,15.7
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2510,-57.2990,37.3
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4590,-57.9850,16.9
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,,,,-19.7050,-56.8560,16.6
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4680,-57.9860,28.6
2021/01/03 14:00:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9370,-57.6590,26
